1775804362.4765, 0.193, 0.017,1775804361.4765, 0.072, 0.033, 0.040
1775804362.5765, 0.194, 0.015,1775804361.4765, 0.072, 0.033, 0.040
1775804362.6765, 0.195, 0.008,1775804362.6765, 0.077, 0.041, 0.036
1775804362.7765, 0.196, 0.007,1775804362.6765, 0.077, 0.041, 0.036
1775804362.8765, 0.197, 0.009,1775804362.6765, 0.077, 0.041, 0.036
1775804362.9765, 0.199, 0.012,1775804362.6765, 0.077, 0.041, 0.036
1775804363.0765, 0.200, 0.019,1775804362.6765, 0.077, 0.041, 0.036
1775804363.1765, 0.201, 0.016,1775804362.6765, 0.077, 0.041, 0.036
1775804363.2765, 0.202, 0.016,1775804362.6765, 0.077, 0.041, 0.036
1775804363.3765, 0.203, 0.017,1775804362.6765, 0.077, 0.041, 0.036
1775804363.4765, 0.204, 0.013,1775804362.6765, 0.077, 0.041, 0.036
1775804363.5765, 0.205, 0.014,1775804362.6765, 0.077, 0.041, 0.036
1775804363.6765, 0.206, 0.011,1775804362.6765, 0.077, 0.041, 0.036
1775804363.7765, 0.207, 0.009,1775804362.6765, 0.077, 0.041, 0.036
1775804363.8765, 0.209, 0.009,1775804363.8765, 0.040, 0.027, 0.027
1775804363.9764, 0.210, 0.011,1775804363.8765, 0.040, 0.027, 0.027
1775804364.0765, 0.211, 0.015,1775804363.8765, 0.040, 0.027, 0.027
1775804364.1765, 0.212, 0.014,1775804363.8765, 0.040, 0.027, 0.027
1775804364.2764, 0.213, 0.013,1775804363.8765, 0.040, 0.027, 0.027
1775804364.3765, 0.214, 0.013,1775804363.8765, 0.040, 0.027, 0.027
1775804364.4764, 0.216, 0.011,1775804363.8765, 0.040, 0.027, 0.027
1775804364.5764, 0.217, 0.013,1775804363.8765, 0.040, 0.027, 0.027
1775804364.6764, 0.218, 0.013,1775804363.8765, 0.040, 0.027, 0.027
1775804364.7764, 0.219, 0.013,1775804363.8765, 0.040, 0.027, 0.027
1775804364.8764, 0.220, 0.016,1775804363.8765, 0.040, 0.027, 0.027
1775804364.9764, 0.221, 0.013,1775804363.8765, 0.040, 0.027, 0.027
1775804365.0764, 0.222, 0.017,1775804365.0764, 0.038, 0.034, 0.055
