1775804352.577, 0.056,-0.014,-0.005, 0.001, 0.708, 0.000, 0.000,-0.01377, 0.005
1775804352.676, 0.056,-0.002,-0.000, 0.004, 0.708, 0.000, 0.000,-0.00242, 0.000
1775804352.776, 0.055,-0.004, 0.003,-0.002, 0.691, 0.000, 0.001,-0.00412, 0.000
1775804352.876, 0.055, 0.012,-0.003, 0.001, 0.693, 0.000, 0.001,0.01167, 0.000
1775804352.976, 0.055, 0.023, 0.001,-0.000, 0.697,-0.000, 0.001,0.02316,-0.005
1775804353.076, 0.055, 0.034,-0.008,-0.002, 0.701,-0.000, 0.001,0.03361,-0.007
1775804353.176, 0.055, 0.034,-0.004,-0.007, 0.706,-0.000, 0.000,0.03443,-0.016
1775804353.276, 0.055, 0.033,-0.006,-0.009, 0.710,-0.000, 0.000,0.03324,-0.020
1775804353.376, 0.056, 0.035,-0.005,-0.009, 0.715,-0.000, 0.000,0.03456,-0.018
1775804353.476, 0.056, 0.032,-0.005, 0.000, 0.720,-0.000, 0.000,0.03233,-0.024
1775804353.576, 0.056, 0.029,-0.008, 0.006, 0.726,-0.000, 0.000,0.02856,-0.024
1775804353.676, 0.056, 0.030,-0.007,-0.002, 0.730,-0.000, 0.000,0.02966,-0.022
1775804353.776, 0.056, 0.027,-0.003, 0.002, 0.734,-0.000, 0.000,0.02750,-0.024
1775804353.876, 0.056, 0.029,-0.009,-0.012, 0.739,-0.000, 0.001,0.02870,-0.024
1775804353.976, 0.056, 0.028,-0.003,-0.001, 0.743,-0.000, 0.000,0.02782,-0.025
1775804354.076, 0.057, 0.028,-0.009, 0.001, 0.748,-0.000, 0.000,0.02801,-0.023
1775804354.176, 0.055, 0.025,-0.007,-0.003, 0.726,-0.000, 0.000,0.02515,-0.024
1775804354.276, 0.055, 0.026,-0.005,-0.012, 0.730,-0.000, 0.000,0.02626,-0.024
1775804354.376, 0.055, 0.026,-0.005, 0.000, 0.734,-0.000, 0.000,0.02609,-0.023
1775804354.476, 0.055, 0.027,-0.007, 0.010, 0.739,-0.000, 0.000,0.02662,-0.022
1775804354.576, 0.055, 0.025,-0.005, 0.009, 0.744,-0.000, 0.001,0.02548,-0.022
1775804354.676, 0.055, 0.027,-0.005, 0.003, 0.749,-0.000, 0.001,0.02669,-0.024
1775804354.776, 0.056, 0.025,-0.006,-0.000, 0.756,-0.000, 0.000,0.02477,-0.023
1775804354.876, 0.056, 0.026,-0.006,-0.007, 0.761,-0.000,-0.000,0.02553,-0.021
1775804354.976, 0.056, 0.027,-0.008,-0.028, 0.765,-0.000,-0.000,0.02667,-0.024
1775804355.076, 0.056, 0.026,-0.007,-0.023, 0.769,-0.000,-0.000,0.02572,-0.027
1775804355.176, 0.056, 0.027,-0.007,-0.016, 0.774,-0.000, 0.000,0.02669,-0.019
1775804355.276, 0.056, 0.025,-0.004,-0.003, 0.773,-0.000, 0.000,0.02469,-0.017
1775804355.376, 0.056, 0.025,-0.005,-0.000, 0.778,-0.000, 0.000,0.02511,-0.023
1775804355.476, 0.054, 0.025,-0.001, 0.003, 0.755,-0.000, 0.000,0.02525,-0.023
1775804355.576, 0.055, 0.025,-0.007, 0.002, 0.760,-0.000, 0.001,0.02529,-0.016
1775804355.676, 0.055, 0.022,-0.001,-0.005, 0.764,-0.000, 0.000,0.02158,-0.010
1775804355.776, 0.055, 0.023,-0.002,-0.016, 0.770,-0.000, 0.000,0.02272,-0.002
1775804355.876, 0.055, 0.025, 0.001,-0.014, 0.775,-0.000, 0.000,0.02506,-0.002
1775804355.976, 0.055, 0.023, 0.001,-0.009, 0.778, 0.000, 0.000,0.02273, 0.003
1775804356.076, 0.055, 0.022, 0.001,-0.009, 0.783, 0.000, 0.000,0.02214, 0.004
1775804356.176, 0.056, 0.019, 0.003, 0.001, 0.788, 0.000, 0.000,0.01947, 0.005
1775804356.276, 0.056, 0.012, 0.002, 0.001, 0.789, 0.000, 0.000,0.01239, 0.008
1775804356.376, 0.056, 0.011, 0.000,-0.006, 0.792, 0.000, 0.000,0.01144, 0.004
1775804356.476, 0.056, 0.010, 0.006,-0.009, 0.795, 0.000, 0.000,0.01016, 0.011
1775804356.576, 0.056, 0.008, 0.002,-0.006, 0.799, 0.000, 0.000,0.00844, 0.015
1775804356.676, 0.056,-0.000, 0.002,-0.003, 0.800, 0.000, 0.000,-0.00040, 0.014
1775804356.776, 0.057,-0.006, 0.005,-0.002, 0.807, 0.000, 0.000,-0.00584, 0.018
1775804356.876, 0.055,-0.007, 0.004,-0.008, 0.780, 0.000,-0.000,-0.00740, 0.023
1775804356.976, 0.055,-0.010, 0.003,-0.006, 0.781, 0.000, 0.000,-0.00952, 0.020
1775804357.076, 0.055,-0.017, 0.006,-0.001, 0.782, 0.000, 0.000,-0.01749, 0.017
1775804357.176, 0.055,-0.011, 0.005,-0.003, 0.783, 0.000, 0.000,-0.01123, 0.017
1775804357.276, 0.055,-0.023, 0.006,-0.004, 0.782, 0.000, 0.000,-0.02261, 0.015
1775804357.376, 0.055,-0.027, 0.003,-0.004, 0.782, 0.000, 0.000,-0.02659, 0.015
1775804357.476, 0.056,-0.024, 0.003,-0.001, 0.781, 0.000, 0.000,-0.02350, 0.014
1775804357.576, 0.056,-0.026, 0.003,-0.005, 0.780, 0.000, 0.000,-0.02559, 0.008
1775804357.676, 0.056,-0.024, 0.000,-0.005, 0.780, 0.000, 0.000,-0.02441, 0.006
1775804357.776, 0.056,-0.026,-0.003,-0.005, 0.784,-0.000, 0.000,-0.02598,-0.002
1775804357.876, 0.056,-0.026,-0.005,-0.010, 0.783,-0.000, 0.000,-0.02590,-0.014
1775804357.976, 0.057,-0.025,-0.003,-0.008, 0.783,-0.000, 0.000,-0.02497,-0.018
1775804358.076, 0.057,-0.026,-0.007, 0.008, 0.782,-0.000, 0.000,-0.02646,-0.016
1775804358.176, 0.055,-0.025,-0.002, 0.004, 0.756,-0.000, 0.001,-0.02508,-0.016
1775804358.276, 0.055,-0.022, 0.001, 0.007, 0.759,-0.000, 0.001,-0.02170,-0.016
1775804358.376, 0.055,-0.013,-0.003, 0.001, 0.759,-0.000, 0.000,-0.01322,-0.013
1775804358.476, 0.055,-0.008,-0.005,-0.001, 0.760,-0.000, 0.000,-0.00799,-0.015
1775804358.576, 0.055,-0.007,-0.001,-0.011, 0.762,-0.000, 0.000,-0.00684,-0.010
1775804358.676, 0.056, 0.001,-0.006,-0.011, 0.763,-0.000, 0.000,0.00067,-0.012
1775804358.776, 0.056,-0.000,-0.001,-0.006, 0.768,-0.000, 0.001,-0.00014,-0.013
1775804358.876, 0.056, 0.010,-0.002,-0.005, 0.770,-0.000, 0.000,0.00951,-0.014
1775804358.976, 0.056, 0.008,-0.004,-0.016, 0.773,-0.000,-0.000,0.00786,-0.014
1775804359.076, 0.056, 0.014,-0.000,-0.013, 0.776,-0.000, 0.000,0.01396,-0.013
1775804359.176, 0.056, 0.012,-0.006, 0.007, 0.780,-0.000, 0.000,0.01172,-0.013
1775804359.276, 0.056, 0.012,-0.002, 0.008, 0.779,-0.000, 0.001,0.01176,-0.007
1775804359.376, 0.056, 0.010, 0.001, 0.014, 0.783,-0.000, 0.001,0.00952,-0.004
1775804359.476, 0.055, 0.007,-0.002, 0.017, 0.758, 0.000, 0.001,0.00733, 0.003
1775804359.576, 0.055, 0.010, 0.002, 0.009, 0.761, 0.000, 0.000,0.01019, 0.008
1775804359.676, 0.055,-0.002, 0.005,-0.012, 0.764, 0.000, 0.000,-0.00215, 0.011
